"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C8";"C_0402_1005Metric";2;"1uF";;;
2;"C24,C20,C21,C7,C18,C6,C23,C22,C5,C19";"C_0402_1005Metric";10;"100nF";;;
3;"U6";"SOIC127P600X175-16N";1;"74HC4051D";;;
4;"R4,R3";"C_0402_1005Metric";2;"27R";;;
5;"R14,R15,R16,R17,R13,R19";"C_0402_1005Metric";6;"10K";;;
6;"D2,D3";"SOT65P210X110-3N";2;"BAT854W";;;
7;"R24,R22,R23,R21";"C_0402_1005Metric";4;"10R";;;
8;"U1";"SOIC127P600X175-8N";1;"MAX485E";;;
9;"R8,R5,R1,R20,R9";"C_0402_1005Metric";5;"1K";;;
10;"C9,C4,C1,C17,C11";"C_0805_2012Metric";5;"10uF";;;
11;"U3";"RP2040-QFN-56";1;"RP2040";;;
12;"J4";"PinSocket_1x04_P2.00mm_Vertical";1;"Conn_01x04_Female";;;
13;"R26";"C_0402_1005Metric";1;"470R";;;
14;"J3";"PinSocket_1x02_P1.00mm_Vertical";1;"DNP";;;
15;"XA2,XA1";"Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical";2;"B2P-VH(LF)(SN)";;;
16;"R28,R2,R27";"C_0402_1005Metric";3;"DNP";;;
17;"R25";"C_0402_1005Metric";1;"0R";;;
18;"R12,R10,R11";"C_0402_1005Metric";3;"100R";;;
19;"C3,C2";"C_0402_1005Metric";2;"27pF";;;
20;"J2";"PinSocket_1x01_P2.00mm_Vertical";1;"Conn_01x01_Female";;;
21;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
22;"R6";"C_0402_1005Metric";1;"200R";;;
23;"U4";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
24;"R7";"C_0402_1005Metric";1;"1R";;;
25;"R18";"C_0402_1005Metric";1;"3.3K";;;
26;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12000Mhz";;;
27;"LED1";"LEDC2012X80N";1;"150080VS75000";;;
28;"J1";"PinHeader_1x05_P2.00mm_Vertical";1;"DNP";;;
29;"J7,J6";"RJ45_Amphenol_54602-x08_Horizontal";2;"8P8C";;;
