Altium Designer Pick and Place Locations
C:\Projects\Altium\Movita\Movita-MNVR-Pro-Multi-Rev08\Movita-MNVR-Pro-Rev08\Project Outputs for Movita-MNVR-Pro-Rev08\Pick Place for Movita-MNVR-Pro-Rev08.txt

========================================================================================================================
File Design Information:

Date:       10/06/23
Time:       19:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
J99        PCB.SMAFRA.HT              TopLayer    PCBSMAFRAHT                        137.7250     106.7750     90       "SMA RA PCB MOUNT JACK 

RF Series:  SMA  
Gender:  Jack (Socket)  
Impedance:  50 Ohms  
Maximum Frequency:  6 GHz  
Termination Style:  Solder Pin  
Orientation:  Right Angle  
Polarity:  Standard  
Mounting Style:  Through Hole  
Cable Type:  -  
IP Rating:  -  
Board Thickness:  0.4 mm  
Body Finish:  Gold  
Body Material:  Brass  
Body Style:  Right Angle  
Brand:  Taoglas  
Contact Material:  Brass  
Contact Plating:  Gold  
Contact Termination:  Solder  
Coupling Mechanism:  Threaded  
Frequency:  DC to 6 GHz  
Insulation Resistance:  1 GOhms  
Isolation:  Non-Isolated" 
J15        "BoardEdgePushButton - 1"  TopLayer    BoardEdgePushButton                4.1202       8.1027       270      BoardEdgePushButton                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
R73        120R                       TopLayer    RESC1005X40N                       70.4002      145.5527     270      "120R 0402 1%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
R69        20K                        TopLayer    RESC1005X40N                       69.8002      143.6227     180      "20 kOhms 62.5mW 0402 1%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
IC6        MAX485ESA+T                TopLayer    SOIC127P600X175-8N                 75.0802      145.5227     180      "RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
