"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
2;"C24,C22,C20,C5,C19,C23,C18,C7,C21,C6";"C_0402_1005Metric";10;"100n";;;
3;"R17,R13,R15,R14,R16";"C_0402_1005Metric";5;"10K";;;
4;"C17,C1,C9,C4,C11";"C_0805_2012Metric";5;"10u";;;
5;"J7,J6";"RJ45_Amphenol_54602-x08_Horizontal";2;"8P8C";;;
6;"U4,U5";"SOT-223-3_TabPin2";2;"LM1117-3.3";;;
7;"R5,R1";"C_0402_1005Metric";2;"1k";;;
8;"XA2,XA1";"Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical";2;"B2P-VH(LF)(SN)";;;
9;"R2";"C_0402_1005Metric";1;"DNP";;;
10;"R3,R4";"C_0402_1005Metric";2;"27R";;;
11;"R11,R10,R12";"C_0402_1005Metric";3;"100R";;;
12;"U3";"RP2040-QFN-56";1;"RP2040";;;
13;"C2,C3";"C_0402_1005Metric";2;"27p";;;
14;"C10,C8";"C_0402_1005Metric";2;"1u";;;
15;"R8,R9";"C_0402_1005Metric";2;"1K";;;
16;"R6";"C_0402_1005Metric";1;"200R";;;
17;"R18,R19";"C_0402_1005Metric";2;"220R";;;
18;"U1";"SOIC127P600X175-8N";1;"MAX485E";;;
19;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
20;"U6";"DIP-16_W8.89mm_SMDSocket_LongPads";1;"4051";;;
21;"U7";"SOT-223-3_TabPin2";1;"LM1117-5V";;;
22;"J1";"PinHeader_1x06_P2.00mm_Vertical";1;"DNP";;;
23;"R7";"C_0402_1005Metric";1;"1R";;;
24;"TP8,TP3,TP1,TP2,TP5";"TestPoint_Pad_D2.0mm";5;"TestPoint";;;
