"Source:","C:\Users\İhsan\Desktop\Donanımlar\Bluetooth\Anchor\Bluetooth_Anchor_Kicad\Bluetooth_Anchor_Kicad.kicad_sch"
"Date:","2023-11-11T15:14:50+0300"
"Tool:","Eeschema 7.99.0-2677-g3cd60007c5"
"Generator:","C:\Program Files\KiCad\7.99\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","72"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C26","2","0.1uF","root_0_C0402C220K4RACTU","C_0402","","",""
"C2, C3, C29","3","22pF","root_1_C0402C220K4RACTU","C_0402","","",""
"C4, C6","2","330pF","root_1_C0402C220K4RACTU","C_0402","","",""
"C5","1","DNP","root_1_C0402C220K4RACTU","C_0402","","",""
"C7, C18","2","1uF","root_1_C0402C220K4RACTU","C_0402","","",""
"C9, C10, C11, C12, C13, C14, C15, C16, C17, C20, C21, C25","12","100nF","root_1_C0402C220K4RACTU","C_0402","","",""
"C23, C24","2","27pF","root_0_C0402C220K4RACTU","C_0402","","",""
"C27","1","100uF","root_3_EEEFPC101XAL_1","XT100UF10V90RV0060","100uF 10V 45mA@120kHz ±20% SMD,D5xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS","",""
"C28","1","10uF","root_1_C0402C220K4RACTU","C_0402","","",""
"D2","1","2SS100L-W","root_2_2SS100L-W_2","2SS100LW","Surface Mount Schottky Barrier Rectifier","",""
"D3","1","SS34FA","root_3_SS34FA_1","SODFL3618X143N","40V Single 3A 0.5V@3A SOD-123FL Schottky Barrier Diodes (SBD) ROHS","",""
"IC2","1","MP1584EN-LF-Z","root_0_MP1584EN-LF-Z","SOIC127P600X170-9N","","",""
"J1","1","U.FL-R-SMT_10","root_0_U.FL-R-SMT_10__1","UFLRSMT10","U.FL (UMCC) Connector Receptacle, Male Pin 50 Ohms Surface Mount Solder","",""
"J2","1","Header_6Ways_2x54","root_2_HTSW-106-14-S-S-LL","Header_6Ways_2x54","Header_6Ways_2x54","",""
"J3, J4, J5","3","DNP","root_2_TSM-104-03-F-SV","Header_4Ways_2x54_Male","Header_4Ways_2x54_Male","",""
"J6","1","Header_8Ways_2x54","root_0_90120-0768","Header_8Ways_2x54","Header_8Ways_2x54","",""
"J7","1","Header 11 Ways 2x54","root_2_MTLW-111-08-G-S-355","Header 11 Ways 2x54","Header 11 Ways 2x54","",""
"J8","1","Header_6 Ways_2x54","root_0_HTSW-106-14-S-S-LL","Header_6Ways_2x54","Header_6 Ways_2x54","",""
"J9","1","Header 5 Ways 2x54","root_0_TSM-105-02-T-SV","Header 5 Ways 2x54","Header 5 Ways 2x54","",""
"J10","1","KF2EDGV-3.5-3.81","root_0_KF2EDGV-3.5-3.81","SHDR2W80P0X381_1X2_862X700X920P","KF2EDGV-3.5-3.81","",""
"L1","1","10uH","root_0_10uH","YSPI0530-100M","2.5A 10uH ±20% SMD,5.4x5.2x3mm Power Inductors ROHS","",""
"LED1","1","Green LED","root_1_NCD0805R1","NCD0805R1","LED Chip Light Emitting Diode","",""
"R1, R2, R3, R4, R18","5","1K","root_0_1K","Res_0402","","",""
"R8, R9","2","0R","root_0_1K","Res_0402","","",""
"R11, R12, R13, R14, R15, R16, R17","7","27R","root_0_1K","Res_0402","","",""
"R19","1","10K","root_1_1K","Res_0402","","",""
"R20","1","DNP","root_2_1K","Res_0402","","",""
"R27","1","510R","root_1_1K","Res_0402","","",""
"R28","1","100K","root_1_1K","Res_0402","","",""
"R29","1","40.2K","root_1_1K","Res_0402","","",""
"R30","1","124K","root_1_1K","Res_0402","","",""
"R31, R32","2","200K","root_1_1K","Res_0402","","",""
"R33","1","68.1K","root_1_1K","Res_0402","","",""
"RGB LED1","1","WS28128-B","root_0_WS28128-B","WS28128-B","","",""
"S1, S3","2","SKRPANE010","root_3_SKRPACE010","SKRPANE010","NO 100MΩ 1000000 times 16V 1.57N Brick nogging SPST SMD Tactile Switches ROHS","",""
"U1","1","NINA-B411","root_0_NINA-B411","NINA_LGA67R_1160X1000X223_PIN - duplicate","RX TXRX MODULE BT 5.1, NRF52833","",""
"U2","1","RP2040","root_0_RP2040","QFN40P700X700X90-57N","QFN-56-EP(7x7) Microcontroller Units (MCUs/MPUs/SOCs) ROHS","",""
"U5","1","W25Q128JVSIQ","root_2_W25Q128JVSIM_TR","W25Q128JVSIQ","SOP-8-208mil NOR FLASH ROHS","",""
"Y1","1","Crystal 32.768KHz 12.5pF","root_1_ECS-3X8X","C__Users_İhsan_Desktop_Bluetooth_Anchor_Wifi_Bluetooth-Anchor-wifi-AltiumDesigner_PcbLib1.PcbLib:XTAL_ECS-3X8X","32.768kHz Â±20ppm Crystal 12.5pF 35 kOhms Cylindrical Can, Radial","",""
"Y2","1","12000MHz","root_0_Crystal_SMD_3225 _12.000MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","","",""
