Ref,Val,Package,PosX,PosY,Rot,Side
"C2","T490B227M006ATE500","T490B",74.740000,-18.820000,90.000000,bottom
"C3","0.1uF","C_0603_1608Metric",71.750000,-6.640000,-90.000000,bottom
"C4","220pF","C_0603_1608Metric",65.930000,-0.015000,-90.000000,bottom
"C5","0.1uF","C_0603_1608Metric",76.560000,-2.745000,90.000000,bottom
"C6","GRM32DR71E106K","C_1210_3225Metric",87.800000,8.780000,-90.000000,bottom
"C7","10uF","C_0603_1608Metric",76.590000,0.520000,-90.000000,bottom
"C10","0.22uF","C_0603_1608Metric",64.410000,3.020000,-90.000000,bottom
"C12","1uF","C_0603_1608Metric",72.290000,7.480000,-90.000000,bottom
"C49","FYD0H473ZF","CAPPRD508W154D1200H850",48.374750,-22.630000,-90.000000,bottom
"C50","0.1uF","C_0603_1608Metric",70.750000,7.490000,-90.000000,bottom
"C51","220pF","C_0603_1608Metric",65.930000,3.020000,90.000000,bottom
"C52","0.1uF","C_0603_1608Metric",76.570000,5.120000,90.000000,bottom
"C53","GRM32DR71E106K","C_1210_3225Metric",87.810000,-5.965000,90.000000,bottom
"C54","T490B227M006ATE500","T490B",74.890000,20.140000,90.000000,bottom
"C55","0.1uF","C_0603_1608Metric",22.610000,-29.225000,-90.000000,bottom
"C56","0.1uF","C_0603_1608Metric",25.120000,-29.225000,-90.000000,bottom
"C57","0.1uF","C_0603_1608Metric",27.630000,-29.225000,-90.000000,bottom
"C58","0.1uF","C_0603_1608Metric",30.140000,-29.225000,-90.000000,bottom
"C59","0.1uF","C_0603_1608Metric",32.650000,-29.225000,-90.000000,bottom
"C60","0.1uF","C_0603_1608Metric",35.160000,-29.225000,-90.000000,bottom
"D4","2SS100L-W","2SS100LW",88.170000,22.320000,90.000000,bottom
"IC2","TPS51220ARTVR","QFN50P500X500X80-33N-D",72.510000,0.480000,90.000000,bottom
"J1","USB_A","USB_A_CNCTech_1001-011-01101_Horizontal",20.890000,26.880000,0.000000,bottom
"J8","1-2199119-5","TE_1-2199119-5",20.776072,-37.430000,0.000000,bottom
"J13","Conn_01x06_Female","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",48.350000,-13.562000,90.000000,bottom
"J14","Conn_01x06_Female","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",57.350000,20.438000,90.000000,bottom
"J16","DNP","PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right",-7.155000,-5.270000,0.000000,bottom
"Q1","FDMS8692","FDMS86255",81.773000,-5.625000,90.000000,bottom
"Q2","FDMS8672AS","FDMS86255",81.708000,-12.745000,-90.000000,bottom
"Q5","FDMS8692","FDMS86255",81.773000,8.635000,90.000000,bottom
"Q6","FDMS8672AS","FDMS86255",81.708000,1.505000,-90.000000,bottom
"R1","120K","R_0603_1608Metric",70.230000,-6.640000,90.000000,bottom
"R2","6m R","R_1206_3216Metric",76.090000,-24.467500,90.000000,bottom
"R3","30K","R_0603_1608Metric",68.710000,-6.640000,90.000000,bottom
"R4","1.2K","R_0603_1608Metric",72.520000,-8.980000,180.000000,bottom
"R5","270K","R_0603_1608Metric",73.280000,-6.645000,-90.000000,bottom
"R7","10K","R_0603_1608Metric",64.410000,-0.015000,90.000000,bottom
"R9","1.2K","R_0603_1608Metric",71.540000,9.780000,180.000000,bottom
"R11","10K","R_0603_1608Metric",65.175000,5.300000,180.000000,bottom
"R44","27K","R_0603_1608Metric",68.520000,9.790000,0.000000,bottom
"R45","6m R","R_1206_3216Metric",76.170000,14.617500,-90.000000,bottom
"R46","62K","R_0603_1608Metric",69.210000,7.490000,-90.000000,bottom
"R53","DNP","R_0603_1608Metric",63.830000,-5.220000,0.000000,bottom
"R54","DNP","R_0603_1608Metric",63.830000,-2.710000,0.000000,bottom
"R56","DNP","R_0603_1608Metric",68.950000,12.865000,-90.000000,bottom
"R57","DNP","R_0603_1608Metric",67.330000,12.850000,-90.000000,bottom
"U2","TLV76033DBZT","SOT-23",87.890000,13.140000,90.000000,bottom
"U3","TLV76033DBZT","SOT-23",87.900000,17.182500,90.000000,bottom
"U8","IHLP3232DZER3R3M51","INDM8681X400N",81.740500,-21.650000,90.000000,bottom
"U10","IHLP3232DZER3R3M51","INDM8681X400N",81.740500,17.542500,-90.000000,bottom
