Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",24.790000,14.870000,0.000000,top
"C8","3.3nF","C_0603_1608Metric",7.220000,4.815000,-90.000000,top
"C9","470uF 50V","CP_Elec_5x5.4",18.250000,-10.030000,90.000000,top
"C11","470uF 50V","CP_Elec_5x5.4",24.130000,-5.020000,-90.000000,top
"C13","105pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",21.760000,-0.070000,-90.000000,top
"C14","27pF","C_0402_1005Metric",39.592250,1.405000,90.000000,top
"C15","27pF","C_0402_1005Metric",35.122250,3.815000,90.000000,top
"C16","100nF","C_0402_1005Metric",33.872250,-1.625000,90.000000,top
"C17","100nF","C_0402_1005Metric",34.852250,-1.625000,90.000000,top
"C18","1uF","C_0402_1005Metric",35.832250,-1.625000,90.000000,top
"C19","1uF","C_0402_1005Metric",29.042250,-8.765000,180.000000,top
"C20","100nF","C_0402_1005Metric",29.042250,-7.785000,180.000000,top
"C21","100nF","C_0402_1005Metric",29.042250,-6.805000,180.000000,top
"C22","100nF","C_0402_1005Metric",29.042250,-5.815000,180.000000,top
"C23","100nF","C_0402_1005Metric",29.042250,-4.835000,180.000000,top
"C24","100nF","C_0402_1005Metric",42.652250,-8.365000,0.000000,top
"C25","100nF","C_0402_1005Metric",42.652250,-9.345000,0.000000,top
"C26","100nF","C_0402_1005Metric",42.652250,-10.325000,0.000000,top
"C27","100nF","C_0402_1005Metric",42.652250,-11.305000,0.000000,top
"C28","0.01uF","C_0603_1608Metric",82.920000,-43.070000,-90.000000,top
"C29","0.01uF","C_0603_1608Metric",81.390000,-43.065000,-90.000000,top
"C30","1000pF","C_0603_1608Metric",71.610000,-43.330000,90.000000,top
"C31","1000pF","C_0603_1608Metric",73.140000,-43.330000,-90.000000,top
"C32","22pF","C_0603_1608Metric",55.234750,-26.700000,180.000000,top
"C33","100nF","C_0603_1608Metric",45.914750,-17.085000,90.000000,top
"C34","10nF","C_0603_1608Metric",48.714750,-11.320000,-90.000000,top
"C35","0.1uF","C_0603_1608Metric",50.999750,-13.730000,180.000000,top
"C36","100nF","C_0603_1608Metric",51.754750,-11.325000,-90.000000,top
"C37","0.1uF","C_0402_1005Metric",68.412500,31.395000,180.000000,top
"C38","33pF","C_0402_1005Metric",68.412500,27.175000,180.000000,top
"C39","33pF","C_0402_1005Metric",83.022500,30.885000,0.000000,top
"C40","0.1uF","C_0603_1608Metric",27.220000,10.240000,180.000000,top
"C41","0.1uF","C_0603_1608Metric",50.234750,-11.325000,-90.000000,top
"C42","27pF","C_0402_1005Metric",32.190000,25.400000,90.000000,top
"C43","27pF","C_0402_1005Metric",27.750000,27.780000,-90.000000,top
"C44","0.1uF","C_0402_1005Metric",23.080000,7.430000,180.000000,top
"C45","10uF","C_0402_1005Metric",26.670000,14.540000,0.000000,top
"C46","0.1uF","C_0603_1608Metric",31.895000,14.820000,0.000000,top
"C47","0.1uF","C_0603_1608Metric",32.650000,12.545000,-90.000000,top
"C48","10uF","C_0603_1608Metric",32.790000,17.135000,90.000000,top
"D3","2SS100L-W","2SS100LW",19.370000,3.740000,180.000000,top
