"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D18,D7,D13,D2,D15,D4,D8,D5,D16,D19,D1,D21,D9,D11,D20,D10,D14,D12,D17,D6,D3";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";21;"WS2812B";;;
2;"R25,R24";"C_0402_1005Metric";2;"33R";;;
3;"C26,C20,C30,C32,C21,C37,C33,C36,C35,C31,C38,C27,C28,C34,C23,C22,C29,C39,C25,C24,C19";"C_0603_1608Metric";21;"0.1uF";;;
4;"U1";"SOIC127P600X175-8N";1;"MAX485E";;;
5;"R13,R12,R10";"C_0402_1005Metric";3;"10K";;;
6;"C13,C6,C18,C17,C8,C12,C9,C16,C14,C15";"C_0402_1005Metric";10;"100nF";;;
7;"R20,R21,R19,R18,R22,R3";"C_0402_1005Metric";6;"DNP";;;
8;"U5";"RP2040-QFN-56";1;"RP2040";;;
9;"R5,R14";"C_0402_1005Metric";2;"0R";;;
10;"C7,C5,C3,C4";"C_0805_2012Metric";4;"10uF";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12000Mhz";;;
12;"R23";"C_0402_1005Metric";1;"2.2K";;;
13;"R2,R11,R26,R4";"C_0402_1005Metric";4;"1K";;;
14;"R7";"C_0402_1005Metric";1;"1R";;;
15;"C2,C1";"C_0402_1005Metric";2;"27pF";;;
16;"J1";"PinHeader_1x05_P2.00mm_Vertical";1;"DNP";;;
17;"R17,R16";"R_0603_1608Metric";2;"22R";;;
18;"U6";"DIP-4_W7.62mm_SMDSocket_SmallPads";1;"PC817";;;
19;"J3";"PinHeader_1x01_P1.00mm_Vertical";1;"Conn_01x01_Female";;;
20;"U4";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
21;"H4,H2,H3,H1";"MountingHole_3mm";4;"MountingHole";;;
22;"SW2,SW1";"TS-1095PS-A165B2-C3D2";2;"TS-1095PS-A165B2-C3D2";;;
23;"LED1";"LED_0805_2012Metric";1;"NCD0805R1 ";;;
24;"J4";"PinSocket_1x04_P2.00mm_Vertical";1;"Conn_01x04_Female";;;
25;"R15";"C_0402_1005Metric";1;"220R";;;
26;"U2";"SOT-223-3_TabPin2";1;"LM1117-5.0";;;
27;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q16JVS";;;
28;"C11,C10";"C_0402_1005Metric";2;"1uF";;;
29;"R8,R9";"C_0402_1005Metric";2;"27R";;;
30;"R1";"C_0402_1005Metric";1;"3.3K";;;
31;"R6";"C_0402_1005Metric";1;"200R";;;
32;"J2";"JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal";1;"Conn_01x08_Socket";;;
