Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",13.462000,18.476000,-90.000000,top
"C2","27pF","C_0402_1005Metric",49.276000,5.740400,0.000000,top
"C3","27pF","C_0402_1005Metric",48.818800,1.193800,0.000000,top
"C4","10uF","C_0805_2012Metric",55.930800,2.565400,-90.000000,top
"C5","100nF","C_0402_1005Metric",61.391800,10.058400,0.000000,top
"C6","100nF","C_0402_1005Metric",56.667400,5.257800,-90.000000,top
"C7","100nF","C_0402_1005Metric",54.686200,5.257800,-90.000000,top
"C8","1uF","C_0402_1005Metric",55.676800,5.257800,-90.000000,top
"C9","10uF","C_0805_2012Metric",11.379200,22.047200,90.000000,top
"C10","1uF","C_0402_1005Metric",59.486800,9.067800,180.000000,top
"C11","10uF","C_0805_2012Metric",13.462000,22.047200,90.000000,top
"C17","10uF","C_0805_2012Metric",57.962800,2.565400,-90.000000,top
"C18","100nF","C_0402_1005Metric",59.486800,12.039600,180.000000,top
"C19","100nF","C_0402_1005Metric",59.486800,8.077200,180.000000,top
"C20","100nF","C_0402_1005Metric",59.486800,10.058400,180.000000,top
"C21","100nF","C_0402_1005Metric",61.391800,9.067800,0.000000,top
"C22","100nF","C_0402_1005Metric",61.391800,8.077200,0.000000,top
"C23","100nF","C_0402_1005Metric",61.391800,11.049000,0.000000,top
"C24","100nF","C_0402_1005Metric",59.486800,7.086600,180.000000,top
"D2","BAT854W","SOT65P210X110-3N",33.147000,16.281400,180.000000,top
"D3","BAT854W","SOT65P210X110-3N",33.147000,13.487400,180.000000,top
"J1","DNP","PinHeader_1x05_P2.00mm_Vertical",62.738000,21.780000,0.000000,top
"J2","Conn_01x01_Female","PinSocket_1x01_P2.00mm_Vertical",62.712600,2.387600,0.000000,top
"J3","DNP","PinSocket_1x02_P1.00mm_Vertical",45.702600,27.518800,90.000000,top
"J4","Conn_01x04_Female","PinSocket_1x04_P2.00mm_Vertical",8.646000,3.141600,180.000000,top
"J6","8P8C","RJ45_Amphenol_54602-x08_Horizontal",18.552100,9.333100,0.000000,top
"J7","8P8C","RJ45_Amphenol_54602-x08_Horizontal",27.345700,20.820700,180.000000,top
"LED1","150080VS75000","LEDC2012X80N",32.512000,27.457400,-90.000000,top
"R1","1K","C_0402_1005Metric",59.893200,18.618200,0.000000,top
"R2","DNP","C_0402_1005Metric",55.118000,17.780000,0.000000,top
"R3","27R","C_0402_1005Metric",59.867800,17.576800,180.000000,top
"R4","27R","C_0402_1005Metric",59.867800,16.586200,180.000000,top
"R5","1K","C_0402_1005Metric",45.339000,2.667000,-90.000000,top
"R6","200R","C_0402_1005Metric",61.391800,7.086600,0.000000,top
"R7","1R","C_0402_1005Metric",63.271400,6.096000,0.000000,top
"R8","1K","C_0402_1005Metric",23.088600,14.224000,180.000000,top
"R9","1K","C_0402_1005Metric",63.271400,5.105400,0.000000,top
"R10","100R","C_0402_1005Metric",59.486800,6.096000,0.000000,top
"R11","100R","C_0402_1005Metric",58.039000,5.613400,90.000000,top
"R12","100R","C_0402_1005Metric",59.486800,5.105400,180.000000,top
"R13","10K","C_0402_1005Metric",61.391800,5.105400,0.000000,top
"R14","10K","C_0402_1005Metric",61.391800,6.096000,0.000000,top
"R15","10K","C_0402_1005Metric",10.287000,13.106400,90.000000,top
"R16","10K","C_0402_1005Metric",3.683000,17.348200,90.000000,top
"R17","10K","C_0402_1005Metric",59.482000,11.049000,0.000000,top
"R18","3.3K","C_0402_1005Metric",32.359600,25.019000,180.000000,top
"R19","10K","C_0402_1005Metric",59.486800,14.020800,0.000000,top
"R20","1K","C_0402_1005Metric",59.486800,13.030200,180.000000,top
"R21","10R","C_0402_1005Metric",45.745400,24.257000,-90.000000,top
"R22","10R","C_0402_1005Metric",44.729400,24.257000,-90.000000,top
"R23","10R","C_0402_1005Metric",46.761400,24.257000,-90.000000,top
"R24","10R","C_0402_1005Metric",47.752000,24.257000,-90.000000,top
"R25","0R","C_0402_1005Metric",45.313600,5.179000,-90.000000,top
"R26","470R","C_0402_1005Metric",10.287000,15.341600,-90.000000,top
"R27","DNP","C_0402_1005Metric",11.156000,8.321600,0.000000,top
"R28","DNP","C_0402_1005Metric",11.166000,7.341600,0.000000,top
"U1","MAX485E","SOIC127P600X175-8N",6.985000,14.543000,90.000000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",40.259000,15.316200,0.000000,top
"U3","RP2040","RP2040-QFN-56",53.594000,11.430000,0.000000,top
"U4","LM1117-3.3","SOT-223-3_TabPin2",5.080000,24.384000,90.000000,top
"U6","74HC4051D","SOIC127P600X175-16N",38.862000,5.588000,90.000000,top
"XA1","B2P-VH(LF)(SN)","Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical",37.161400,22.884600,0.000000,top
"XA2","B2P-VH(LF)(SN)","Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical",51.308000,22.910000,0.000000,top
"Y1","12000Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",48.090000,3.468000,0.000000,top
